gso_code,era,name_vi,wikidata_qid,description_en,description_vi
31,post2025,Thành phố Hải Phòng,Q72818,municipality of Vietnam,thành phố trực thuộc trung ương Việt Nam
33,post2025,Tỉnh Hưng Yên,Q36235,province of Vietnam,tỉnh thuộc Đồng bằng sông Hồng của Việt Nam
37,post2025,Tỉnh Ninh Bình,Q36900,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Hồng của Việt Nam
38,post2025,Tỉnh Thanh Hóa,Q36512,province of Vietnam,tỉnh thuộc vùng Bắc Trung Bộ của Việt Nam
40,post2025,Tỉnh Nghệ An,Q36587,province of Vietnam,tỉnh thuộc vùng Bắc Trung Bộ của Việt Nam
42,post2025,Tỉnh Hà Tĩnh,Q33351,province of Vietnam,tỉnh thuộc vùng Bắc Trung Bộ của Việt Nam
44,post2025,Tỉnh Quảng Trị,Q36579,province of Vietnam,tỉnh thuộc vùng Bắc Trung Bộ của Việt Nam
46,post2025,Thành phố Huế,Q36399,municipality of Vietnam,thành phố trực thuộc trung ương của Việt Nam
48,post2025,Thành phố Đà Nẵng,Q25282,Municipality of Vietnam,thành phố trực thuộc trung ương của Việt Nam
51,post2025,Tỉnh Quảng Ngãi,Q33304,province of Vietnam,tỉnh thuộc vùng Duyên hải Nam Trung Bộ và Tây Nguyên của Việt Nam
52,post2025,Tỉnh Gia Lai,Q36662,province of Vietnam,tỉnh thuộc vùng Duyên hải Nam Trung Bộ và Tây Nguyên của Việt Nam
56,post2025,Tỉnh Khánh Hòa,Q33369,province of Vietnam,tỉnh thuộc vùng Duyên hải Nam Trung Bộ và Tây Nguyên của Việt Nam
66,post2025,Tỉnh Đắk Lắk,Q36690,province of Vietnam,tỉnh thuộc vùng Duyên hải Nam Trung Bộ và Tây Nguyên của Việt Nam
68,post2025,Tỉnh Lâm Đồng,Q36721,Province in South Central Coast and Central Highlands region of Vietnam.,tỉnh thuộc vùng Duyên hải Nam Trung Bộ và Tây Nguyên của Việt Nam
75,post2025,Thành phố Đồng Nai,Q33271,municipality of Vietnam,thành phố trực thuộc trung ương của Việt Nam
79,post2025,Thành phố Hồ Chí Minh,Q1854,largest city in Vietnam,thành phố trực thuộc trung ương của Việt Nam
80,post2025,Tỉnh Tây Ninh,Q36608,a province of Vietnam,tỉnh thuộc vùng Đông Nam Bộ của Việt Nam
82,post2025,Tỉnh Đồng Tháp,Q36676,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
86,post2025,Tỉnh Vĩnh Long,Q7333405,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long của Việt Nam
91,post2025,Tỉnh An Giang,Q36592,province of Vietnam,"tỉnh thuộc vùng Đồng bằng sông Cửu Long, Việt Nam"
92,post2025,Thành phố Cần Thơ,Q216075,city of Vietnam,thành phố trực thuộc trung ương của Việt Nam
96,post2025,Tỉnh Cà Mau,Q33354,province of Vietnam,tỉnh thuộc vùng Đồng bằng sông Cửu Long và là tỉnh cực nam của Việt Nam
