local_id,terminal_code,name_vi,loai_hinh,parent_code,valid_from,valid_to,wikidata_qid,qid_status,match_status,candidate_qids,match_notes
w-1090605-base,12211,Xã Bình Minh,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090607-base,12214,Xã Phạm Hồng Thái,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090609-base,12217,Xã Hàm Tử,Xã,330,,2024-11-30,,,deferred-historical,,
w-1090611-base,12220,Xã Ông Đình,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090613-base,12223,Xã Tân Dân,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090615-base,12226,Xã Tứ Dân,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090617-base,12229,Xã An Vĩ,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090619-base,12232,Xã Đông Kết,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090621-base,12235,Xã Bình Kiều,Xã,330,,2024-11-30,,,deferred-historical,,
w-1090623-base,12238,Xã Dân Tiến,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090625-base,12241,Xã Đồng Tiến,Xã,330,,2024-11-30,,,deferred-historical,,
w-1090627-base,12244,Xã Đồng Tiến,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090629-base,12247,Xã Tân Châu,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090631-base,12250,Xã Liên Khê,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090633-base,12253,Xã Phùng Hưng,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090635-base,12256,Xã Việt Hòa,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090637-base,12259,Xã Đông Ninh,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090639-base,12262,Xã Đại Tập,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090641-base,12265,Xã Chí Minh,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090643-base,12268,Xã Đại Hưng,Xã,330,,2024-11-30,,,deferred-historical,,
w-1090645-base,12271,Xã Thuần Hưng,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090647-base,12274,Xã Nguyễn Huệ,Xã,330,,2025-06-30,,,deferred-historical,,
w-1090649-base,12277,Xã Nhuế Dương,Xã,330,,2024-11-30,,,deferred-historical,,
w-1090701-base,12142,Thị trấn Ân Thi,Thị trấn,329,,2025-06-30,,,deferred-historical,,
w-1090703-base,12145,Xã Phù Ủng,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090705-base,12148,Xã Bắc Sơn,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090707-base,12151,Xã Bãi Sậy,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090709-base,12154,Xã Đào Dương,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090711-base,12157,Xã Quang Vinh,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090713-base,12160,Xã Vân Du,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090715-base,12163,Xã Quang Vinh,Xã,329,,2024-11-30,,,deferred-historical,,
w-1090717-base,12166,Xã Xuân Trúc,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090719-base,12169,Xã Hoàng Hoa Thám,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090721-base,12172,Xã Quảng Lãng,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090723-base,12175,Xã Đa Lộc,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090725-base,12178,Xã Đặng Lễ,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090727-base,12181,Xã Cẩm Ninh,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090729-base,12184,Xã Nguyễn Trãi,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090731-base,12187,Xã Đa Lộc,Xã,329,,2024-11-30,,,deferred-historical,,
w-1090733-base,12190,Xã Hồ Tùng Mậu,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090735-base,12193,Xã Tiền Phong,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090737-base,12196,Xã Hồng Quang,Xã,329,,2025-06-30,,,deferred-historical,,
w-1090739-base,12199,Xã Hồng Quang,Xã,329,,2024-11-30,,,deferred-historical,,
w-1090741-base,12202,Xã Hạ Lễ,Xã,329,,2025-06-30,,,deferred-historical,,
w-10909-2025-07-01,10909,Xã Tuệ Tĩnh,Xã,31,2025-07-01,,,,needs-lookup,,no folded label or alias candidate
w-1090901-base,12283,Xã Nghĩa Dân,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090903-base,12286,Xã Toàn Thắng,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090905-base,12289,Xã Vĩnh Xá,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090907-base,12292,Xã Phạm Ngũ Lão,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090909-base,12295,Xã Phú Thọ,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090911-base,12298,Xã Đồng Thanh,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090913-base,12301,Xã Song Mai,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090915-base,12304,Xã Chính Nghĩa,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090917-base,12307,Xã Nhân La,Xã,331,,2024-11-30,,,deferred-historical,,
w-1090919-base,12310,Xã Phú Thịnh,Xã,331,,2024-11-30,,,deferred-historical,,
w-1090921-base,12313,Xã Mai Động,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090923-base,12316,Xã Đức Hợp,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090925-base,12319,Xã Hùng An,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090927-base,12322,Xã Ngọc Thanh,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090929-base,12280,Thị trấn Lương Bằng,Thị trấn,331,,2025-06-30,,,deferred-historical,,
w-1090931-base,12325,Xã Diên Hồng,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090933-base,12328,Xã Hiệp Cường,Xã,331,,2025-06-30,,,deferred-historical,,
w-1090935-base,12331,Xã Phú Cường,Xã,323,,2025-06-30,,,deferred-historical,,
w-1090937-base,12334,Xã Hùng Cường,Xã,323,,2025-06-30,,,deferred-historical,,
w-1090939-base,11983,Xã Bảo Khê,Xã,323,,2025-06-30,,,deferred-historical,,
w-1091101-base,12391,Thị trấn Trần Cao,Thị trấn,333,,2025-06-30,,,deferred-historical,,
w-1091102-base,12394,Xã Minh Tân,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091103-base,12397,Xã Phan Sào Nam,Xã,333,,2025-06-30,,,deferred-historical,,
w-1091107-base,12400,Xã Quang Hưng,Xã,333,,2025-06-30,,,deferred-historical,,
